TestMSE: 4.599550724029541, TrainMSE: 1.2526909112930298
TestMSE: 4.591301918029785, TrainMSE: 1.2510956525802612
TestMSE: 4.583171367645264, TrainMSE: 1.2495312690734863
TestMSE: 4.575166702270508, TrainMSE: 1.2480013370513916
TestMSE: 4.567267417907715, TrainMSE: 1.2464982271194458
TestMSE: 4.559486389160156, TrainMSE: 1.2450261116027832
TestMSE: 4.551812648773193, TrainMSE: 1.2435823678970337
TestMSE: 4.544249534606934, TrainMSE: 1.242167353630066
TestMSE: 4.536789417266846, TrainMSE: 1.2407782077789307
TestMSE: 4.529433250427246, TrainMSE: 1.239416241645813
TestMSE: 4.522182941436768, TrainMSE: 1.2380815744400024
TestMSE: 4.51502799987793, TrainMSE: 1.2367708683013916
TestMSE: 4.507978439331055, TrainMSE: 1.2354875802993774
TestMSE: 4.501026153564453, TrainMSE: 1.2342294454574585
TestMSE: 4.494167804718018, TrainMSE: 1.2329952716827393
TestMSE: 4.487405300140381, TrainMSE: 1.2317850589752197
TestMSE: 4.480732440948486, TrainMSE: 1.2305970191955566
TestMSE: 4.474151611328125, TrainMSE: 1.2294321060180664
TestMSE: 4.46766471862793, TrainMSE: 1.2282923460006714
TestMSE: 4.461260795593262, TrainMSE: 1.2271708250045776
TestMSE: 4.454947471618652, TrainMSE: 1.2260735034942627
TestMSE: 4.4487199783325195, TrainMSE: 1.2249969244003296
TestMSE: 4.442575454711914, TrainMSE: 1.2239413261413574
TestMSE: 4.436516284942627, TrainMSE: 1.222907304763794
TestMSE: 4.430535316467285, TrainMSE: 1.2218910455703735
TestMSE: 4.4246392250061035, TrainMSE: 1.2208969593048096
TestMSE: 4.418823719024658, TrainMSE: 1.2199225425720215
TestMSE: 4.413082122802734, TrainMSE: 1.2189666032791138
TestMSE: 4.407416343688965, TrainMSE: 1.2180273532867432
TestMSE: 4.401829719543457, TrainMSE: 1.217108964920044
TestMSE: 4.396312713623047, TrainMSE: 1.2162065505981445
TestMSE: 4.390870571136475, TrainMSE: 1.2153221368789673
TestMSE: 4.385504722595215, TrainMSE: 1.2144575119018555
TestMSE: 4.380207538604736, TrainMSE: 1.2136082649230957
TestMSE: 4.374979019165039, TrainMSE: 1.2127759456634521
TestMSE: 4.369818687438965, TrainMSE: 1.211958885192871
TestMSE: 4.36472749710083, TrainMSE: 1.211158037185669
TestMSE: 4.359705924987793, TrainMSE: 1.2103755474090576
TestMSE: 4.354748249053955, TrainMSE: 1.2096070051193237
TestMSE: 4.349853515625, TrainMSE: 1.2088532447814941
TestMSE: 4.345021724700928, TrainMSE: 1.2081139087677002
TestMSE: 4.3402557373046875, TrainMSE: 1.207390308380127
TestMSE: 4.33554744720459, TrainMSE: 1.2066792249679565
TestMSE: 4.330901145935059, TrainMSE: 1.205983281135559
TestMSE: 4.326318740844727, TrainMSE: 1.2053037881851196
TestMSE: 4.321786403656006, TrainMSE: 1.20463228225708
TestMSE: 4.317318439483643, TrainMSE: 1.2039774656295776
TestMSE: 4.312902927398682, TrainMSE: 1.203334093093872
TestMSE: 4.3085479736328125, TrainMSE: 1.2027050256729126
TestMSE: 4.30424690246582, TrainMSE: 1.2020878791809082
TestMSE: 4.30000114440918, TrainMSE: 1.2014836072921753
TestMSE: 4.295810222625732, TrainMSE: 1.2008922100067139
TestMSE: 4.291670799255371, TrainMSE: 1.2003108263015747
TestMSE: 4.2875823974609375, TrainMSE: 1.1997424364089966
TestMSE: 4.283546447753906, TrainMSE: 1.1991844177246094
TestMSE: 4.279559135437012, TrainMSE: 1.198636531829834
TestMSE: 4.275625705718994, TrainMSE: 1.1981024742126465
TestMSE: 4.271738052368164, TrainMSE: 1.1975784301757812
TestMSE: 4.267895698547363, TrainMSE: 1.197062373161316
TestMSE: 4.264102458953857, TrainMSE: 1.1965581178665161
TestMSE: 4.260356426239014, TrainMSE: 1.19606351852417
TestMSE: 4.256654262542725, TrainMSE: 1.195578694343567
TestMSE: 4.252997875213623, TrainMSE: 1.1951029300689697
TestMSE: 4.249388694763184, TrainMSE: 1.1946386098861694
TestMSE: 4.245820999145508, TrainMSE: 1.1941826343536377
TestMSE: 20.52406883239746, TrainMSE: 7.6607537269592285
TestMSE: 18.197277069091797, TrainMSE: 6.590811252593994
TestMSE: 16.26862907409668, TrainMSE: 6.076254844665527
TestMSE: 11.740574836730957, TrainMSE: 4.202105522155762
TestMSE: 11.101675033569336, TrainMSE: 3.8323898315429688
TestMSE: 10.627241134643555, TrainMSE: 3.6179051399230957
TestMSE: 10.189034461975098, TrainMSE: 3.436599016189575
TestMSE: 9.780033111572266, TrainMSE: 3.2703540325164795
TestMSE: 9.397992134094238, TrainMSE: 3.115546703338623
TestMSE: 9.040986061096191, TrainMSE: 2.97092866897583
TestMSE: 8.707454681396484, TrainMSE: 2.8357930183410645
TestMSE: 8.395830154418945, TrainMSE: 2.709486246109009
TestMSE: 8.10457992553711, TrainMSE: 2.5914103984832764
